province	name	telephone	email	region	max_height
Oost-Vlaanderen	AM - Wespenverdelging	0473 52 96 36	andy.marien@telenet.be	Hamme, Dendermonde, Lokeren, Sint-Niklaas, Temse, Waasmunster	10
Antwerpen	Antiwesp	0479 82 04 36	antiwesp@outlook.be	Berlaar, Heist-op-den-Berg, Lier, Nijlen, Putte	8
West-Vlaanderen	Arbretout	0476 57 93 67	info@arbretout.be	Oostkamp, Ruddervoorde, Hertsberge, Beernem, Waardamme, Oedelem, St-Joris Beernem, Zwevezele, Loppem, Zedelgem, Wingene	7
Antwerpen, Limburg, Oost-Vlaanderen, Vlaams-Brabant	BeeFast	0470 12 54 72	hoornaar@beefast.be	Provincie Antwerpen, Limburg, Vlaams Brabant, Oost-Vlaanderen	8
Vlaams-Brabant	Bee-Happy	0485 63 41 73	info@bee-happy.be	Aarschot, Begijnendijk, Rotselaar, Tremelo, Holsbeek, Boortmeerbeek, Herent, Heist-op-den-Berg, Herselt, Hulshout	32
Limburg, Vlaams-Brabant	Bees At Work	0486 13 24 64	bart@beesatwork.be	Leuven, Diest, Sint-Truiden, Tienen	8
Oost-Vlaanderen	Beesandyou	0486 27 02 12	christophe@beesandyou.be	Gent, Mariakerke, Drongen, Wondelgem, Sint-Amandsberg, Oostakker, Desteldonk, Mendonk, Sint-Kruis-Winkel, Gentbrugge, Ledeberg, Afsnee, Sint-Denijs-Westrem, Zwijnaarde, Wetteren, Melle, Merelbeke, De Pinte, Sint-Maartens Latem, Lovendegem, Merendree, Evergem, Destelbergen, Laarne, Nevele, Lochristi.	8
West-Vlaanderen	Ben Vanden Berghe	0467 00 45 30	info@wespenvangers.be	Avelgem, Kortrijk	8
West-Vlaanderen	Cadégroep	0475 72 38 40	cadegroep@gmail.com	Waregem, Anzegem, Avelgem, Zwevegem, Kuurne, Deerlijk, Harelbeke, Kluisbergen, Zulte, Deinze, Nazareth, Gavere, Tielt, Izegem, Roeselare, Kortrijk, Ardooie	15
Antwerpen	CommV VAN REET	0467 02 26 38	info@depeiwesp.com	Westerlo, Hulshout, Herenthout, Herselt, Berlaar, Putte, Heist-op-den-Berg	32
Antwerpen, Oost-Vlaanderen	DC Wespenverdelging	0465 02 96 62	info@wespsite.be	Dendermonde, Buggenhout, Sint-Amands, Bornem, Puurs, Lebbeke, Hamme, Londerzeel	8
Limburg	De Bomerbij	0496 45 62 30	jonas_cuypers@hotmail.com	Peer, Hechtel-Eksel, Bree, Bochelt, Leopoldsburg, Lommel, Pelt, Houhalen-Helchteren, Oudsbergen	30m (hoogtewerker)
Oost-Vlaanderen	De Waegenaere Boomverzorging	0488 33 89 77	dewaegenaerealexander@gmail.com	Maarkedal, Ronse, Oudenaarde, Horebeke, Brakel	8
Antwerpen	De wespenbestrijder	0471 77 64 90	info@dewespenbestrijder.be	Nijlen, Grobbendonk, Herentals, Olen, Heist-op-den-Berg, Westerlo, Herselt, Tielt-Wingene, Aarschot, Scherpenheuvel-Zichem, Begijnendijk	8
West-Vlaanderen	Demilde Jens	0494 86 20 61	jensdemilde@gmail.com	Damme, Beernem	5
Oost-Vlaanderen	Dender Projects	0470 20 20 27	dender.projects@gmail.com	Dendermonde, Lebbeke, Buggenhout, Aalst, Gijzeghem, Wieze, Berlare, Zele, Hamme	8
Antwerpen	DVG Ongediertebestrijding	0493 12 24 98	vangilsdanny@gmail.com	Brasschaat, Schoten, Brecht, Kapellen, Kalmthout, Deurne, Schilde	5
Antwerpen	EMRU	0486 17 90 02	info@emru.be	Geel, Mol, Meerhout, Laakdal, Dessel, Retie	8
Oost-Vlaanderen	Fleur D'Or	0494 52 61 53	bertaudenaert@gmail.com	Lokeren, Moerbeke, Lochristi	15
Oost-Vlaanderen	GCV Symarsoft	0498 97 70 69	serge.marist@hotmail.com	Oudenaarde, Maarkedal, Zwalm, Gavere, Kruisem, Brakel, Kluisbergen	8
Vlaams-Brabant	Guy Tibo	016 82 64 01	guy.tibo@belgacom.net	Leuven, Diest, Sint-Truiden, Tienen	8
Limburg	Het bijenkasteel	0494 71 21 96	hoornaar@hetbijenkasteel.be	Genk, Zutendaal, Lanaken, Bilzen.	8
West-Vlaanderen	Heytens Brecht	0473 54 85 79	brechtheytens@hotmail.com	Tielt, Dentergem	32
Vlaams-Brabant	Imkerij De Grauwe	0496 99 68 01	bart.degrauwe@gmail.com	Bekkevoort, Boutersem, Glabbeek, Haacht, Hoegaarden, Holsbeek, Kortenaken, Leuven, Lubbeek, Tielt-Wingene, Tienen, Zoutleeuw	8
Vlaams-Brabant, Limburg	Imkerij Torbeyns	0476 77 73 72	nicky.torbeyns@telenet.be	Diest, Scherpenheuvel-Zichem, Bekkevoort, Tielt-Wingene, Halen	8
Antwerpen, Vlaams-Brabant	JL-Services	0474 18 31 48	jl-services@telenet.be	Boortmeerbeek, Kampenhout, Mechelen, Steenokkerzeel, Bonheiden, Duffel, Mechelen, Putte, Sint-Katelijne-Waver, Willebroek, Boom, Hemiksem, Niel, Rumst, Schelle	8
West-Vlaanderen	Jochen Volders	0473 43 94 79	jochen.volders1@telenet.be	Aalter, Sijsele, Beernem, Maldegem, Deinze	9
Antwerpen, Vlaams-Brabant	Karweiwerken Van Waeyenberghe	0486 51 69 37	pieter_van_waeyenberghe@hotmail.com	Mechelen, Zemst, Bonheiden, Keerbergen, Sint-Katelijne-Waver, Willebroek	8
Vlaams-Brabant	Klusdienst Blanki	0477 29 88 18	filip.blancquaert@telenet.be	Kortenberg, Steenokkerzeel, Bertem, Herent, Kampenhout	8
West-Vlaanderen	LIFO4Retail	0477 47 01 84	frederikroose@yahoo.com	Aalter, Sijsele, Beernem, Maldegem, Deinze	8
Vlaams-Brabant	Mon Coeur de Miel	0495 20 00 89	olivier@moncoeurdemiel.be	zuiden van Vlaams Brabant, westen van Vlaams Brabant, regio Brussel, Waals-Brabant	8
Antwerpen	NJ Projectsolutions & Services	0468 11 30 40	wespenexpert@telenet.be	Provincie Antwerpen met uitzondering van stad Antwerpen en Zwijndrecht	8
Antwerpen	Patrick Van Ende	0486 51 39 60	patrick.van.ende@telenet.be	Provincie Antwerpen	32
Vlaams-Brabant, Limburg	PT Technics	0478 80 09 97	info@pttechnics.be	Bekkevoort, Tielt-Wingene, Glabbeek, Kortenaken, Diest, Halen, Lubbeek, Holsbeek, Tienen, Scherpenheuvel-Zichem, Aarschot	8
Oost-Vlaanderen, West-Vlaanderen	Ruben Devenyns, Virginie Dielens	0471 60 02 38	devenynsruben@gmail.com	Gent, Oudenaarde, Ronse, Kluisbergen, Wortegem, Brakel, Maarkedal,Zottegem, Zwalm, Horebeke, Tielt, Dentergem, Anzegem, Avelgem, Nazareth, Gavere, Oosterzele, Deinze, De pinte, Waregem, Sint-Martens-Latem, Zulte, Wielsbeke, Merelbeke	15
West-Vlaanderen	SOS Wesp	0498 31 71 01	bart.candaele@telenet.be	Wevelgem, Menen, Wervik, Geluwe, Kortrijk, Lendelede, Kuurne, Harelbeke, Zwevegem	8
Vlaams-Brabant	Tom Vrancken	0473 77 35 89	tomvrancken@hotmail.com	Vlaams-Brabant Oost	
West-Vlaanderen	VD Driessche Hoornaarbestrijding	0477 49 38 06	vddriesschejeroen@gmail.com	Maldegem, Sint-Laureins, Eeklo, Aalter, Tielt, Damme, Torhout, Brugge met deelgemeenten, Oostkamp, Beernem	8
Oost-Vlaanderen	Veluwesp	0498 28 82 12	frederik.potvin@gmail.com	Gavere, Zwalm, Dikkele, Merelbeke, Oudenaarde, Melle, Deinze, Nazareth, De Pinte, Zwijnaarde	15
Antwerpen	DVB wespenverdelging	0486 99 88 94	vntuinwerken@gmail.com	Lier, Duffel, Sint-Katelijne-Waver, Mechelen, Rumst, Kontich, Hove, Lint, Edegem, Zemst, Machelen, Vilvoorde, Boechout	8
Oost-Vlaanderen	Wase Wespenverdelging	0456 33 95 91	info@wasewespenverdelging.be	Beveren-Waas, Kruibeke, Sint-Gillis, Sint-Pauwels, Sint-Niklaas, Temse, Waasmunster, Stekene	8
West-Vlaanderen	Waspaway	0496 03 15 42	info@waspaway.be	West-Vlaanderen	
Antwerpen	WespBusters	0471 97 30 71	info@wespbusters.be	Schoten, Brecht, Schilde, Kalmthout, Wuustwezel, Kapellen, Brasschaat, Malle, Zoersel, Essen, Wijnegem en provincie Antwerpen voor AH.	8
Antwerpen	Wespen Voorkempen	0472 35 91 15	info@wespenvoorkempen.be	Schilde, Schoten, Wijnegem, Brecht, Sint-Job, Malle, Zoersel, Zandhoven, Brasschaat	8
Oost-Vlaanderen	Wespeniers	0498 86 26 19	jens.grillet@gmail.com	Gent, Deinze, Sint-Martens-Latem, De Pinte, Nazareth	8
Limburg	Wesp-en-Nest	0479 26 25 00	wesp.en.nest.limburg@gmail.com	Peer, Pelt, Lommel, Bree, Leopoldsburg, Kleine Brogel	
Oost-Vlaanderen, Vlaams-Brabant	Wespenverdelger Tom	0492 39 23 60	tom.wespenverdelger@outlook.com	Ninove, Geraardsbergen, Galmaarden, Herne, Gooik	8
Vlaams-Brabant	Wespenverdelging Cammaerts	0475 38 49 17	info@wespen-verdelging.be	Herne, Tervuren, Ninove, Lennik, Sint-Pieters-Leeuw, Huldenberg, Hoeilaart, Drogenbos, Beersel, Halle	8
Vlaams-Brabant	Wespenverdelging Koen	0479 79 57 61	wespenverdelgingkoen@hotmail.com	Landen, Linter, Tienen, Kortenaken, Glabbeek, Zoutleeuw, Hoegaarden	
Antwerpen	Wespenverdelging Stef	0475 93 19 74	stefan.bonne@hotmail.com	Mechelen, Bonheiden, Sint Katelijne Waver, Onze-Lieve-Vrouw-Waver, Duffel, Kontich, Rumst, Reet, Terhagen, Boom, Aartselaar, Willebroek, Lint, Hove, Lier	32
Limburg	Zorgimkerij Immegaard	0474 37 31 45	imkerijnais@gmail.com	Sint-Truiden, Wellen, Hasselt	8
Antwerpen, Limburg	Hannes Jonas wesp-hoornaar bestrijding	0496 27 21 74	hannesjonasgcv@gmail.com	Balen, Ham, Dessel, Retie, Mol, Meerhout, Leopoldsburg, Geel, Lommel
Antwerpen, Oost-Vlaanderen, Vlaams-Brabant	ANTIMAL	0478 24 77 75	antimal.ongedierte@gmail.com	Londerzeel, Kapelle-op-den-Bos, Meise, Buggenhout, Puurs-Sint-Amands, Merchtem, Opwijk, Wemmel, Grimbergen, Bornem
